id;user_id;action;entity_type;entity_id;old_values;new_values;ip_address;user_agent;created_at
fc3aa762-290b-42d6-bbe2-c14ae779173e;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-10 20:14:00.860847+00
de4b102e-7a38-4166-81f8-6ece123391f0;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-10 20:15:08.895726+00
fa735af6-af4c-4391-8978-1f42d120742a;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-10 20:16:14.747279+00
1a1b68aa-2000-4238-aecd-579b7c4dd743;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-10 20:18:13.514968+00
dbc585c6-e711-458c-80c4-32c2eff48a05;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-10 20:19:17.935199+00
154a98c6-6e75-43da-8ebd-2819653ee562;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 02:04:55.526674+00
5048671e-011e-40d2-84ec-9eac0fc0fad8;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 02:06:13.671798+00
d5d0ed82-5cff-4434-b4bb-4722da3a66e0;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 02:07:22.159427+00
96b96d90-75ed-476d-92ea-37ea0c36e2dc;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 02:08:36.794683+00
a89ddfa3-8947-4c0f-8cb4-8b872ee6be6a;;attribution_applied;agent_attribution_rule;3dfca541-281b-4d09-a2e6-9e22951c0922;;"{""agent_id"":null,""base_amount"":0,""outcome_type"":""trigger_detected"",""percentage_amount"":0,""total_credits"":0}";;;2026-02-11 02:09:46.40346+00
