id;user_id;spawned_business_id;resource_type;resource_subtype;quantity;unit;estimated_cost_usd;metadata;created_at
da8b0706-6800-4002-a0c9-9fd55baf01c2;b8c5a162-5141-422e-9924-dc0e8c333790;394a50fe-426c-4ed5-a999-39a1b95396c8;api_calls;business_spawn_start;1;calls;;{};2025-12-29 07:30:56.793378+00
a404715b-20c1-45e9-9e77-1dd6d7562fec;b8c5a162-5141-422e-9924-dc0e8c333790;394a50fe-426c-4ed5-a999-39a1b95396c8;ai_tokens;gemini-3-pro;2603;tokens;0.007809;{};2025-12-29 07:31:16.150142+00
56f35fe1-bd39-4086-bd87-1c774c09b557;b8c5a162-5141-422e-9924-dc0e8c333790;394a50fe-426c-4ed5-a999-39a1b95396c8;ai_tokens;erp_generation;2000;tokens;0.006000;{};2025-12-29 07:32:10.687601+00
f75a2ac6-f3ab-4050-8f0d-d45ce706a385;b8c5a162-5141-422e-9924-dc0e8c333790;394a50fe-426c-4ed5-a999-39a1b95396c8;ai_tokens;website_generation;3000;tokens;0.009000;{};2025-12-29 07:32:37.348691+00
587d54f8-962f-4e31-85e1-646a1dbb4912;b8c5a162-5141-422e-9924-dc0e8c333790;394a50fe-426c-4ed5-a999-39a1b95396c8;ai_tokens;gemini-3-pro;5699;tokens;0.017097;{};2025-12-29 07:32:51.116918+00
aac3beef-c24c-4c7c-b730-7575aeb4e647;58704a4c-3ac5-41f4-aad4-2a89e468ab6a;edc131fd-4fce-4ad3-af9b-ac157bf24b31;api_calls;business_spawn_start;1;calls;;{};2026-01-03 20:12:44.661804+00
e2ad5d72-ea03-4202-b6f9-081e3162585b;58704a4c-3ac5-41f4-aad4-2a89e468ab6a;edc131fd-4fce-4ad3-af9b-ac157bf24b31;ai_tokens;gemini-3-pro;1968;tokens;0.005904;{};2026-01-03 20:12:56.958396+00
db014576-cacc-4482-a846-d84decefe09a;58704a4c-3ac5-41f4-aad4-2a89e468ab6a;edc131fd-4fce-4ad3-af9b-ac157bf24b31;ai_tokens;gemini-3-pro;4085;tokens;0.012255;{};2026-01-03 20:14:11.249247+00
